block_number,timestamp_unix,timestamp_utc,base_fee_per_gas_wei,gas_used,gas_limit,gas_used_ratio
1387,1716842207,2024-05-27T20:36:47+00:00,1,361124,240250000,0.001503117585848075
1409,1716842759,2024-05-27T20:45:59+00:00,1,299808,240250000,0.0012479001040582726
1431,1716843299,2024-05-27T20:54:59+00:00,1,619858,240250000,0.002580054110301769
1453,1716843731,2024-05-27T21:02:11+00:00,1,954772,240250000,0.003974077003121748
1475,1716844175,2024-05-27T21:09:35+00:00,1,347556,240250000,0.00144664308012487
1497,1716844619,2024-05-27T21:16:59+00:00,1,324124,240250000,0.001349111342351717
1519,1716845099,2024-05-27T21:24:59+00:00,1,477832,240250000,0.001988894901144641
1541,1716845555,2024-05-27T21:32:35+00:00,1,3163775,240250000,0.013168678459937565
1563,1716846023,2024-05-27T21:40:23+00:00,1,3229664,240250000,0.013442930280957336
1585,1716846479,2024-05-27T21:47:59+00:00,1,1380106,240250000,0.005744457856399584
1607,1716846995,2024-05-27T21:56:35+00:00,1,477832,240250000,0.001988894901144641
1629,1716847379,2024-05-27T22:02:59+00:00,1,333152,240250000,0.0013866888657648284
1651,1716847919,2024-05-27T22:11:59+00:00,1,868552,240250000,0.003615200832466181
1673,1716848423,2024-05-27T22:20:23+00:00,1,310765,240250000,0.001293506763787721
1695,1716848963,2024-05-27T22:29:23+00:00,1,197092,240250000,0.0008203621227887617
1717,1716849419,2024-05-27T22:36:59+00:00,1,220490,240250000,0.0009177523413111343
1739,1716849863,2024-05-27T22:44:23+00:00,1,218080,240250000,0.0009077211238293445
1761,1716850271,2024-05-27T22:51:11+00:00,1,2295534,240250000,0.009554772112382934
1783,1716850679,2024-05-27T22:57:59+00:00,1,239080,240250000,0.0009951300728407908
1805,1716851255,2024-05-27T23:07:35+00:00,1,176092,240250000,0.0007329531737773153
1827,1716851867,2024-05-27T23:17:47+00:00,1,264309,240250000,0.0011001415192507804
1849,1716852419,2024-05-27T23:26:59+00:00,1,848071,240250000,0.003529952133194589
1871,1716852887,2024-05-27T23:34:47+00:00,1,520982,240250000,0.002168499479708637
1893,1716853391,2024-05-27T23:43:11+00:00,1,281092,240250000,0.0011699979188345474
1915,1716853787,2024-05-27T23:49:47+00:00,1,328256,240250000,0.0013663100936524453
1937,1716854243,2024-05-27T23:57:23+00:00,1,197080,240250000,0.000820312174817898
1959,1716854819,2024-05-28T00:06:59+00:00,1,302092,240250000,0.0012574068678459938
1981,1716855203,2024-05-28T00:13:23+00:00,1,345593,240250000,0.0014384724245577523
2003,1716855647,2024-05-28T00:20:47+00:00,1,218092,240250000,0.0009077710718002081
2025,1716856151,2024-05-28T00:29:11+00:00,1,388686,240250000,0.0016178397502601457
2047,1716856679,2024-05-28T00:37:59+00:00,1,197092,240250000,0.0008203621227887617
2069,1716857195,2024-05-28T00:46:35+00:00,1,387605,240250000,0.001613340270551509
2091,1716857627,2024-05-28T00:53:47+00:00,1,319717,240250000,0.001330767950052029
2113,1716858119,2024-05-28T01:01:59+00:00,1,218092,240250000,0.0009077710718002081
2135,1716858563,2024-05-28T01:09:23+00:00,1,218092,240250000,0.0009077710718002081
2157,1716859007,2024-05-28T01:16:47+00:00,1,364667,240250000,0.0015178647242455774
2179,1716859403,2024-05-28T01:23:23+00:00,1,963047,240250000,0.004008520291363163
2201,1716859835,2024-05-28T01:30:35+00:00,1,309232,240250000,0.0012871259105098854
2223,1716860315,2024-05-28T01:38:35+00:00,1,553625,240250000,0.0023043704474505723
2245,1716860699,2024-05-28T01:44:59+00:00,1,260092,240250000,0.001082588969823101
2267,1716861131,2024-05-28T01:52:11+00:00,1,1208596,240250000,0.005030576482830385
2289,1716861587,2024-05-28T01:59:47+00:00,1,176092,240250000,0.0007329531737773153
2311,1716862067,2024-05-28T02:07:47+00:00,1,535071,240250000,0.002227142559833507
2333,1716862535,2024-05-28T02:15:35+00:00,1,218092,240250000,0.0009077710718002081
2355,1716863015,2024-05-28T02:23:35+00:00,1,891832,240250000,0.0037120998959417274
2377,1716863483,2024-05-28T02:31:23+00:00,1,355030,240250000,0.0014777523413111342
2399,1716863939,2024-05-28T02:38:59+00:00,1,446904,240250000,0.001860162330905307
2421,1716864395,2024-05-28T02:46:35+00:00,1,337131,240250000,0.0014032507804370448
2443,1716864815,2024-05-28T02:53:35+00:00,1,215808,240250000,0.000898264308012487
2465,1716865331,2024-05-28T03:02:11+00:00,1,1342153,240250000,0.005586484911550468
2487,1716865787,2024-05-28T03:09:47+00:00,1,686008,240250000,0.0028553922996878253
2509,1716866303,2024-05-28T03:18:23+00:00,1,239092,240250000,0.0009951800208116545
2531,1716866819,2024-05-28T03:26:59+00:00,1,218092,240250000,0.0009077710718002081
2553,1716867275,2024-05-28T03:34:35+00:00,1,352624,240250000,0.0014677377731529657
2575,1716867959,2024-05-28T03:45:59+00:00,1,218092,240250000,0.0009077710718002081
2597,1716868571,2024-05-28T03:56:11+00:00,1,218092,240250000,0.0009077710718002081
2619,1716869075,2024-05-28T04:04:35+00:00,1,576461,240250000,0.002399421436004162
2641,1716869663,2024-05-28T04:14:23+00:00,1,1659537,240250000,0.006907542143600416
2663,1716870263,2024-05-28T04:24:23+00:00,1,239092,240250000,0.0009951800208116545
2685,1716871079,2024-05-28T04:37:59+00:00,1,256408,240250000,0.00106725494276795
2707,1716871667,2024-05-28T04:47:47+00:00,1,324605,240250000,0.0013511134235171696
2729,1716872219,2024-05-28T04:56:59+00:00,1,597384,240250000,0.0024865098855359003
2751,1716872795,2024-05-28T05:06:35+00:00,1,197092,240250000,0.0008203621227887617
2773,1716873311,2024-05-28T05:15:11+00:00,1,1134982,240250000,0.004724170655567118
2795,1716873887,2024-05-28T05:24:47+00:00,1,328244,240250000,0.0013662601456815816
2817,1716874511,2024-05-28T05:35:11+00:00,1,176092,240250000,0.0007329531737773153
2839,1716875171,2024-05-28T05:46:11+00:00,1,922267,240250000,0.003838780437044745
2861,1716875927,2024-05-28T05:58:47+00:00,1,2023488,240250000,0.008422426638917794
2883,1716876719,2024-05-28T06:11:59+00:00,1,346080,240250000,0.0014404994797086368
2905,1716877331,2024-05-28T06:22:11+00:00,1,397322,240250000,0.0016537856399583767
2927,1716878063,2024-05-28T06:34:23+00:00,1,1429554,240250000,0.005950276795005203
2949,1716878759,2024-05-28T06:45:59+00:00,1,1440930,240250000,0.005997627471383975
2971,1716879635,2024-05-28T07:00:35+00:00,1,466919,240250000,0.001943471383975026
2993,1716880307,2024-05-28T07:11:47+00:00,1,485119,240250000,0.002019225806451613
3015,1716880883,2024-05-28T07:21:23+00:00,1,1277307,240250000,0.005316574401664932
3037,1716881879,2024-05-28T07:37:59+00:00,1,307256,240250000,0.0012789011446409989
3059,1716882599,2024-05-28T07:49:59+00:00,1,352110,240250000,0.001465598335067638
3081,1716883499,2024-05-28T08:04:59+00:00,1,1920812,240250000,0.007995055150884495
3103,1716884387,2024-05-28T08:19:47+00:00,1,426080,240250000,0.0017734859521331945
3125,1716885095,2024-05-28T08:31:35+00:00,1,1044307,240250000,0.004346751300728408
3147,1716885695,2024-05-28T08:41:35+00:00,1,1838676,240250000,0.007653177939646202
3169,1716886367,2024-05-28T08:52:47+00:00,1,311252,240250000,0.0012955338189386057
3191,1716886907,2024-05-28T09:01:47+00:00,1,593442,240250000,0.00247010197710718
3213,1716887531,2024-05-28T09:12:11+00:00,1,1046096,240250000,0.0043541977107180024
3235,1716888155,2024-05-28T09:22:35+00:00,1,1118447,240250000,0.004655346514047867
3257,1716888767,2024-05-28T09:32:47+00:00,1,580566,240250000,0.0024165078043704474
3279,1716889619,2024-05-28T09:46:59+00:00,1,3624861,240250000,0.015087870967741935
3301,1716890339,2024-05-28T09:58:59+00:00,1,614693,240250000,0.0025585556711758585
3323,1716891227,2024-05-28T10:13:47+00:00,1,260068,240250000,0.0010824890738813735
3345,1716891935,2024-05-28T10:25:35+00:00,1,2293108,240250000,0.00954467429760666
3367,1716892787,2024-05-28T10:39:47+00:00,1,11850637,240250000,0.0493262726326743
3389,1716893483,2024-05-28T10:51:23+00:00,1,334784,240250000,0.0013934817898022893
3411,1716894167,2024-05-28T11:02:47+00:00,1,553590,240250000,0.0023042247658688867
3433,1716894815,2024-05-28T11:13:35+00:00,1,937538,240250000,0.003902343392299688
3455,1716895463,2024-05-28T11:24:23+00:00,1,651094,240250000,0.0027100686784599375
3477,1716896183,2024-05-28T11:36:23+00:00,1,3031478,240250000,0.012618014568158168
3499,1716896639,2024-05-28T11:43:59+00:00,1,449863,240250000,0.0018724786680541102
3521,1716897119,2024-05-28T11:51:59+00:00,1,1135600,240250000,0.004726742976066597
3543,1716897575,2024-05-28T11:59:35+00:00,1,267522,240250000,0.0011135150884495318
3565,1716898163,2024-05-28T12:09:23+00:00,1,344092,240250000,0.0014322247658688865
3587,1716898559,2024-05-28T12:15:59+00:00,1,1434470,240250000,0.005970738813735692
3609,1716899087,2024-05-28T12:24:47+00:00,1,736656,240250000,0.0030662060353798125
3631,1716899639,2024-05-28T12:33:59+00:00,1,416033,240250000,0.0017316670135275754
3653,1716900107,2024-05-28T12:41:47+00:00,1,281092,240250000,0.0011699979188345474
3675,1716900671,2024-05-28T12:51:11+00:00,1,355502,240250000,0.001479716961498439
3697,1716901127,2024-05-28T12:58:47+00:00,1,1023217,240250000,0.004258967741935484
3719,1716901727,2024-05-28T13:08:47+00:00,1,491092,240250000,0.0020440874089490114
3741,1716902315,2024-05-28T13:18:35+00:00,1,370232,240250000,0.0015410280957336108
3763,1716902843,2024-05-28T13:27:23+00:00,1,302092,240250000,0.0012574068678459938
3785,1716903347,2024-05-28T13:35:47+00:00,1,6298313,240250000,0.02621566285119667
3807,1716903827,2024-05-28T13:43:47+00:00,1,1182768,240250000,0.004923071800208116
3829,1716904415,2024-05-28T13:53:35+00:00,1,239092,240250000,0.0009951800208116545
3851,1716904907,2024-05-28T14:01:47+00:00,1,572323,240250000,0.002382197710718002
3873,1716905411,2024-05-28T14:10:11+00:00,1,351486,240250000,0.0014630010405827264
3895,1716905903,2024-05-28T14:18:23+00:00,1,719932,240250000,0.002996595213319459
3917,1716906359,2024-05-28T14:25:59+00:00,1,564642,240250000,0.0023502268470343393
3939,1716906815,2024-05-28T14:33:35+00:00,1,1292108,240250000,0.005378181061394381
3961,1716907355,2024-05-28T14:42:35+00:00,1,642136,240250000,0.0026727825182101977
3983,1716908003,2024-05-28T14:53:23+00:00,1,260092,240250000,0.001082588969823101
4005,1716908567,2024-05-28T15:02:47+00:00,1,587834,240250000,0.0024467596253902185
4027,1716909203,2024-05-28T15:13:23+00:00,1,684449,240250000,0.0028489032258064515
4049,1716909839,2024-05-28T15:23:59+00:00,1,593786,240250000,0.0024715338189386054
4071,1716910391,2024-05-28T15:33:11+00:00,1,1645499,240250000,0.006849111342351717
4093,1716910931,2024-05-28T15:42:11+00:00,1,4530675,240250000,0.018858168574401667
4115,1716911543,2024-05-28T15:52:23+00:00,1,9376099,240250000,0.0390264266389178
4137,1716912167,2024-05-28T16:02:47+00:00,1,4006398,240250000,0.01667595421436004
4159,1716912719,2024-05-28T16:11:59+00:00,1,3968243,240250000,0.016517140478668053
4181,1716913343,2024-05-28T16:22:23+00:00,1,3779922,240250000,0.01573328616024974
4203,1716914195,2024-05-28T16:36:35+00:00,1,4234238,240250000,0.017624299687825182
4225,1716914699,2024-05-28T16:44:59+00:00,1,3928954,240250000,0.016353606659729448
4247,1716915203,2024-05-28T16:53:23+00:00,1,3779779,240250000,0.01573269094693028
4269,1716915707,2024-05-28T17:01:47+00:00,1,3741232,240250000,0.015572245577523413
4291,1716916259,2024-05-28T17:10:59+00:00,1,260312,240250000,0.0010835046826222685
4313,1716916811,2024-05-28T17:20:11+00:00,1,3778103,240250000,0.015725714880332985
4335,1716917243,2024-05-28T17:27:23+00:00,1,389815,240250000,0.0016225390218522373
4357,1716917747,2024-05-28T17:35:47+00:00,1,302068,240250000,0.0012573069719042664
4379,1716918203,2024-05-28T17:43:23+00:00,1,3594120,240250000,0.014959916753381894
4401,1716918647,2024-05-28T17:50:47+00:00,1,4127954,240250000,0.017181910509885535
4423,1716919175,2024-05-28T17:59:35+00:00,1,3738730,240250000,0.015561831425598334
4445,1716919643,2024-05-28T18:07:23+00:00,1,3569435,240250000,0.014857169614984391
4467,1716920159,2024-05-28T18:15:59+00:00,1,3430102,240250000,0.014277219562955254
4489,1716920639,2024-05-28T18:23:59+00:00,1,4222376,240250000,0.01757492611862643
4511,1716921239,2024-05-28T18:33:59+00:00,1,580174,240250000,0.002414876170655567
4533,1716921899,2024-05-28T18:44:59+00:00,1,4019567,240250000,0.01673076795005203
4555,1716922439,2024-05-28T18:53:59+00:00,1,3571100,240250000,0.014864099895941727
4577,1716923039,2024-05-28T19:03:59+00:00,1,3467073,240250000,0.01443110509885536
4599,1716923531,2024-05-28T19:12:11+00:00,1,3579597,240250000,0.014899467221644121
4621,1716923987,2024-05-28T19:19:47+00:00,1,3494211,240250000,0.014544062434963579
4643,1716924647,2024-05-28T19:30:47+00:00,1,3931194,240250000,0.016362930280957335
4665,1716925175,2024-05-28T19:39:35+00:00,1,3519925,240250000,0.014651092611862643
4687,1716925679,2024-05-28T19:47:59+00:00,1,3390073,240250000,0.014110605619146722
4709,1716926087,2024-05-28T19:54:47+00:00,1,3688887,240250000,0.01535436836628512
4731,1716926555,2024-05-28T20:02:35+00:00,1,3459998,240250000,0.014401656607700312
4753,1716927011,2024-05-28T20:10:11+00:00,1,3623443,240250000,0.01508196878251821
4775,1716927587,2024-05-28T20:19:47+00:00,1,4115785,240250000,0.017131259105098856
4797,1716928079,2024-05-28T20:27:59+00:00,1,3682646,240250000,0.015328391259105099
4819,1716928499,2024-05-28T20:34:59+00:00,1,4305133,240250000,0.01791938813735692
4841,1716929027,2024-05-28T20:43:47+00:00,1,3523031,240250000,0.014664020811654526
4863,1716929507,2024-05-28T20:51:47+00:00,1,3518313,240250000,0.014644382934443288
4885,1716929963,2024-05-28T20:59:23+00:00,1,3545862,240250000,0.01475905098855359
4907,1716930467,2024-05-28T21:07:47+00:00,1,3503895,240250000,0.014584370447450572
4929,1716931067,2024-05-28T21:17:47+00:00,1,4021077,240250000,0.01673705306971904
4951,1716931547,2024-05-28T21:25:47+00:00,1,3951501,240250000,0.016447454734651406
4973,1716931979,2024-05-28T21:32:59+00:00,1,3763656,240250000,0.015665581685744015
4995,1716932387,2024-05-28T21:39:47+00:00,1,265244,240250000,0.0011040332986472425
5017,1716932783,2024-05-28T21:46:23+00:00,1,3520147,240250000,0.014652016649323621
5039,1716933359,2024-05-28T21:55:59+00:00,1,3799764,240250000,0.01581587513007284
5061,1716934067,2024-05-28T22:07:47+00:00,1,3532287,240250000,0.014702547346514048
5083,1716934607,2024-05-28T22:16:47+00:00,1,3485857,240250000,0.014509290322580646
5105,1716935111,2024-05-28T22:25:11+00:00,1,4219090,240250000,0.017561248699271594
