batch_index,post_block,batch_revenue_eth,batch_cost_eth,batch_net_eth,batch_revenue_to_cost
1,24183321,0.00024355777788335364,0.000251835204438848,-8.277426555494375e-06,0.9671315748966132
2,24183331,0.0002557005389706304,0.000264163223164928,-8.462684194297594e-06,0.9679641848213898
3,24183341,0.0002698395651792512,0.000272687834422528,-2.8482692432768123e-06,0.9895548356628795
4,24183351,0.00030827766830055045,0.000309841840487488,-1.5641721869375625e-06,0.9949517076697048
5,24183361,0.0002964098842209792,0.000287758445369664,8.651438851315187e-06,1.0300649346371096
6,24183371,0.0002920185962202944,0.00029051737084704,1.501225373254375e-06,1.0051674203469396
7,24183381,0.0002742681956160576,0.000246903798888128,2.7364396727929626e-05,1.1108301972313048
8,24183391,0.000246640770312544,0.000251455287818752,-4.814517506208e-06,0.9808533853156499
9,24183401,0.0002390439495857408,0.000243021206023296,-3.977256437555187e-06,0.9836341177684143
10,24183411,0.00022638331387155196,0.000217454604909184,8.928708962367969e-06,1.0410601052394217
11,24183421,0.00021895174546483838,0.000238970249195072,-2.0018503730233626e-05,0.9162301424647531
12,24183431,0.00027445147774822406,0.000312617771606784,-3.816629385855997e-05,0.8779138701475802
13,24183441,0.0003045588727247488,0.000328727307664128,-2.4168434939379187e-05,0.9264787732083611
14,24183451,0.00029795790647694077,0.000273282469440448,2.467543703649275e-05,1.0902927915098846
15,24183461,0.00026227104721105924,0.000241483509595584,2.078753761547522e-05,1.0860826383146758
16,24183471,0.0002568090139431744,0.0002550266858384,1.782328104774375e-06,1.0069887906001482
17,24183481,0.00026985409090849913,0.00027105533278944,-1.201241880940875e-06,0.9955682780022114
18,24183491,0.00030848021397649275,0.000317608809401984,-9.12859542549125e-06,0.971258368296902
19,24183501,0.000300464069253408,0.000272678144380928,2.778592487248e-05,1.1019000805347399
20,24183511,0.0002619336985211008,0.00027870214804032,-1.6768449519219187e-05,0.9398337987807928
21,24183521,0.00026034308908181117,0.000258991220944896,1.3518681369151875e-06,1.0052197450244957
22,24183531,0.00024143497907957122,0.000238104369643712,3.3306094358592187e-06,1.0139880231549006
23,24183541,0.00020511675928535037,0.000194044034105152,1.1072725180198375e-05,1.0570629508464975
24,24183551,0.00019713035343479682,0.000198340132117184,-1.2097786823871874e-06,0.9939004846398286
25,24183561,0.00019092590961729278,0.00017778031563264,1.3145593984652781e-05,1.0739429105965614
26,24183571,0.0001510514543241664,0.000137849722475264,1.3201731848902406e-05,1.0957690128920743
27,24183581,0.00016960402255668478,0.00019055983115936,-2.095580860267522e-05,0.8900302940279662
28,24183591,0.0002146814264482432,0.000213556498869312,1.1249275789311875e-06,1.0052675876636261
29,24183601,0.00022563885761344,0.000231415348095488,-5.776490482048e-06,0.9750384296910831
30,24183611,0.000261108871824704,0.00028946059221568,-2.8351720390976e-05,0.9020532633684006
31,24183621,0.00026132431650520964,0.00025384964812768,7.474668377529625e-06,1.0294452579810947
32,24183631,0.0002531396306486784,0.000246452188739648,6.687441909030375e-06,1.0271348448688153
33,24183641,0.00024825036156191354,0.000249726722662272,-1.4763611003584687e-06,0.9940880932380028
34,24183651,0.0002739973819262016,0.000312238955118528,-3.8241573192326375e-05,0.877524656787909
35,24183661,0.0003249956746067392,0.000329237231122688,-4.2415565159488125e-06,0.9871170204490991
36,24183671,0.00035998527643623675,0.000387978557601344,-2.799328116510725e-05,0.9278483807502812
37,24183681,0.00036669905905694077,0.000363703083917824,2.99597513911675e-06,1.0082374202243325
38,24183691,0.0003625680943261888,0.000377874656130176,-1.5306561803987187e-05,0.959493018238529
39,24183701,0.00032033231665392,0.000288969166677248,3.1363149976672e-05,1.1085345898225252
40,24183711,0.00031802848567568645,0.000361942917459328,-4.391443178364156e-05,0.8786702828946051
