block_number,timestamp_unix,timestamp_utc,base_fee_per_gas_wei,gas_used,gas_limit,gas_used_ratio
2021152,1706936879,2024-02-03T05:07:59+00:00,7,492858,61000000,0.008079639344262295
2021227,1706937179,2024-02-03T05:12:59+00:00,7,489526,61000000,0.008025016393442623
2021302,1706937479,2024-02-03T05:17:59+00:00,7,1614279,61000000,0.026463590163934427
2021377,1706937779,2024-02-03T05:22:59+00:00,7,1345494,61000000,0.02205727868852459
2021452,1706938079,2024-02-03T05:27:59+00:00,7,1152326,61000000,0.018890590163934427
2021527,1706938379,2024-02-03T05:32:59+00:00,7,438778,61000000,0.007193081967213115
2021602,1706938679,2024-02-03T05:37:59+00:00,7,968889,61000000,0.015883426229508196
2021677,1706938979,2024-02-03T05:42:59+00:00,7,525229,61000000,0.008610311475409835
2021752,1706939279,2024-02-03T05:47:59+00:00,7,611480,61000000,0.010024262295081967
2021827,1706939579,2024-02-03T05:52:59+00:00,7,801850,61000000,0.013145081967213115
2021902,1706939879,2024-02-03T05:57:59+00:00,7,522107,61000000,0.008559131147540984
2021977,1706940179,2024-02-03T06:02:59+00:00,7,1491013,61000000,0.02444283606557377
2022052,1706940479,2024-02-03T06:07:59+00:00,7,1014119,61000000,0.016624901639344263
2022127,1706940779,2024-02-03T06:12:59+00:00,7,792283,61000000,0.012988245901639344
2022202,1706941079,2024-02-03T06:17:59+00:00,7,1143096,61000000,0.01873927868852459
2022277,1706941379,2024-02-03T06:22:59+00:00,7,1303648,61000000,0.02137127868852459
2022352,1706941679,2024-02-03T06:27:59+00:00,7,714620,61000000,0.011715081967213116
2022427,1706941979,2024-02-03T06:32:59+00:00,7,2339522,61000000,0.038352819672131146
2022502,1706942279,2024-02-03T06:37:59+00:00,7,1470457,61000000,0.024105852459016395
2022577,1706942579,2024-02-03T06:42:59+00:00,7,720677,61000000,0.011814377049180327
2022652,1706942879,2024-02-03T06:47:59+00:00,7,982692,61000000,0.016109704918032788
2022727,1706943179,2024-02-03T06:52:59+00:00,7,1290233,61000000,0.021151360655737705
2022802,1706943479,2024-02-03T06:57:59+00:00,7,1978118,61000000,0.03242816393442623
2022877,1706943779,2024-02-03T07:02:59+00:00,7,654608,61000000,0.01073127868852459
2022952,1706944079,2024-02-03T07:07:59+00:00,7,1035347,61000000,0.016972901639344264
2023027,1706944379,2024-02-03T07:12:59+00:00,7,2516668,61000000,0.04125685245901639
2023102,1706944679,2024-02-03T07:17:59+00:00,7,1690445,61000000,0.027712213114754098
2023177,1706944979,2024-02-03T07:22:59+00:00,7,842373,61000000,0.01380939344262295
2023252,1706945279,2024-02-03T07:27:59+00:00,7,1349825,61000000,0.02212827868852459
2023327,1706945579,2024-02-03T07:32:59+00:00,7,2128478,61000000,0.034893081967213115
2023402,1706945879,2024-02-03T07:37:59+00:00,7,446515,61000000,0.007319918032786885
2023477,1706946179,2024-02-03T07:42:59+00:00,7,1596874,61000000,0.026178262295081967
2023552,1706946479,2024-02-03T07:47:59+00:00,7,1370659,61000000,0.022469819672131148
2023627,1706946779,2024-02-03T07:52:59+00:00,7,902035,61000000,0.014787459016393443
2023702,1706947079,2024-02-03T07:57:59+00:00,7,2262824,61000000,0.037095475409836064
2023777,1706947379,2024-02-03T08:02:59+00:00,7,13870916,61000000,0.22739206557377048
2023852,1706947679,2024-02-03T08:07:59+00:00,7,12072670,61000000,0.19791262295081968
2023927,1706947979,2024-02-03T08:12:59+00:00,7,13510393,61000000,0.2214818524590164
2024002,1706948279,2024-02-03T08:17:59+00:00,7,11548050,61000000,0.1893122950819672
2024077,1706948579,2024-02-03T08:22:59+00:00,7,13289065,61000000,0.21785352459016394
2024152,1706948879,2024-02-03T08:27:59+00:00,7,13611704,61000000,0.22314268852459015
2024227,1706949179,2024-02-03T08:32:59+00:00,7,13981510,61000000,0.22920508196721312
2024302,1706949479,2024-02-03T08:37:59+00:00,7,9146710,61000000,0.1499460655737705
2024377,1706949779,2024-02-03T08:42:59+00:00,7,8072519,61000000,0.13233637704918033
2024452,1706950079,2024-02-03T08:47:59+00:00,7,8959652,61000000,0.14687954098360656
2024527,1706950379,2024-02-03T08:52:59+00:00,7,4997455,61000000,0.08192549180327868
2024602,1706950679,2024-02-03T08:57:59+00:00,7,4855993,61000000,0.07960644262295082
2024677,1706950979,2024-02-03T09:02:59+00:00,7,5225864,61000000,0.08566990163934426
2024752,1706951279,2024-02-03T09:07:59+00:00,7,5821119,61000000,0.09542818032786886
2024827,1706951579,2024-02-03T09:12:59+00:00,7,2890037,61000000,0.047377655737704916
2024902,1706951879,2024-02-03T09:17:59+00:00,7,651495,61000000,0.010680245901639344
2024977,1706952179,2024-02-03T09:22:59+00:00,7,1661607,61000000,0.027239459016393443
2025052,1706952479,2024-02-03T09:27:59+00:00,7,568664,61000000,0.009322360655737705
2025127,1706952779,2024-02-03T09:32:59+00:00,7,2405103,61000000,0.039427918032786884
2025202,1706953079,2024-02-03T09:37:59+00:00,7,3863031,61000000,0.06332837704918033
2025277,1706953379,2024-02-03T09:42:59+00:00,7,6390581,61000000,0.10476362295081967
2025352,1706953679,2024-02-03T09:47:59+00:00,7,4930336,61000000,0.08082518032786885
2025427,1706953979,2024-02-03T09:52:59+00:00,7,2927514,61000000,0.04799203278688525
2025502,1706954279,2024-02-03T09:57:59+00:00,7,5650306,61000000,0.09262796721311475
2025577,1706954579,2024-02-03T10:02:59+00:00,7,3456064,61000000,0.056656786885245905
2025652,1706954879,2024-02-03T10:07:59+00:00,7,4201332,61000000,0.06887429508196721
2025727,1706955179,2024-02-03T10:12:59+00:00,7,4433129,61000000,0.07267424590163934
2025802,1706955479,2024-02-03T10:17:59+00:00,7,2851256,61000000,0.04674190163934426
2025877,1706955779,2024-02-03T10:22:59+00:00,7,3120272,61000000,0.051152
2025952,1706956079,2024-02-03T10:27:59+00:00,7,2197812,61000000,0.036029704918032784
2026027,1706956379,2024-02-03T10:32:59+00:00,7,1976338,61000000,0.03239898360655738
2026102,1706956679,2024-02-03T10:37:59+00:00,7,4667587,61000000,0.07651781967213114
2026177,1706956979,2024-02-03T10:42:59+00:00,7,3566184,61000000,0.05846203278688525
2026252,1706957279,2024-02-03T10:47:59+00:00,7,2885038,61000000,0.04729570491803279
2026327,1706957579,2024-02-03T10:52:59+00:00,7,4089293,61000000,0.06703759016393443
2026402,1706957879,2024-02-03T10:57:59+00:00,7,1876859,61000000,0.030768180327868853
2026477,1706958179,2024-02-03T11:02:59+00:00,7,3207668,61000000,0.05258472131147541
2026552,1706958479,2024-02-03T11:07:59+00:00,7,3475069,61000000,0.05696834426229508
2026627,1706958779,2024-02-03T11:12:59+00:00,7,1618245,61000000,0.02652860655737705
2026702,1706959079,2024-02-03T11:17:59+00:00,7,3215267,61000000,0.052709295081967214
2026777,1706959379,2024-02-03T11:22:59+00:00,7,3053669,61000000,0.050060147540983604
2026852,1706959679,2024-02-03T11:27:59+00:00,7,2403605,61000000,0.039403360655737706
2026927,1706959979,2024-02-03T11:32:59+00:00,7,2270476,61000000,0.03722091803278688
2027002,1706960279,2024-02-03T11:37:59+00:00,7,2593990,61000000,0.042524426229508194
2027077,1706960579,2024-02-03T11:42:59+00:00,7,2245840,61000000,0.03681704918032787
2027152,1706960879,2024-02-03T11:47:59+00:00,7,2696401,61000000,0.044203295081967214
2027227,1706961179,2024-02-03T11:52:59+00:00,7,2149319,61000000,0.035234737704918036
2027302,1706961479,2024-02-03T11:57:59+00:00,7,1435772,61000000,0.023537245901639345
2027377,1706961779,2024-02-03T12:02:59+00:00,7,1809988,61000000,0.029671934426229507
2027452,1706962079,2024-02-03T12:07:59+00:00,7,2496970,61000000,0.04093393442622951
2027527,1706962379,2024-02-03T12:12:59+00:00,7,1726860,61000000,0.028309180327868853
2027602,1706962679,2024-02-03T12:17:59+00:00,7,1357279,61000000,0.022250475409836067
2027677,1706962979,2024-02-03T12:22:59+00:00,7,1925698,61000000,0.03156881967213115
2027752,1706963279,2024-02-03T12:27:59+00:00,7,1504360,61000000,0.024661639344262295
2027827,1706963579,2024-02-03T12:32:59+00:00,7,1866320,61000000,0.030595409836065575
2027902,1706963879,2024-02-03T12:37:59+00:00,7,2645962,61000000,0.0433764262295082
2027977,1706964179,2024-02-03T12:42:59+00:00,7,1163194,61000000,0.019068754098360657
2028052,1706964479,2024-02-03T12:47:59+00:00,7,1121689,61000000,0.018388344262295082
2028127,1706964779,2024-02-03T12:52:59+00:00,7,3251820,61000000,0.053308524590163935
2028202,1706965079,2024-02-03T12:57:59+00:00,7,1308542,61000000,0.02145150819672131
2028277,1706965379,2024-02-03T13:02:59+00:00,7,1248569,61000000,0.02046834426229508
2028352,1706965679,2024-02-03T13:07:59+00:00,7,2616246,61000000,0.04288927868852459
2028427,1706965979,2024-02-03T13:12:59+00:00,7,2051120,61000000,0.03362491803278689
2028502,1706966279,2024-02-03T13:17:59+00:00,7,3782641,61000000,0.06201050819672131
2028577,1706966579,2024-02-03T13:22:59+00:00,7,1104117,61000000,0.01810027868852459
2028652,1706966879,2024-02-03T13:27:59+00:00,7,1036992,61000000,0.016999868852459018
2028727,1706967179,2024-02-03T13:32:59+00:00,7,1295703,61000000,0.021241032786885244
2028802,1706967479,2024-02-03T13:37:59+00:00,7,1148456,61000000,0.018827147540983608
2028877,1706967779,2024-02-03T13:42:59+00:00,7,2477658,61000000,0.04061734426229508
2028952,1706968079,2024-02-03T13:47:59+00:00,7,2217820,61000000,0.036357704918032786
2029027,1706968379,2024-02-03T13:52:59+00:00,7,1546595,61000000,0.025354016393442622
2029102,1706968679,2024-02-03T13:57:59+00:00,7,1557835,61000000,0.02553827868852459
2029177,1706968979,2024-02-03T14:02:59+00:00,7,737513,61000000,0.012090377049180328
2029252,1706969279,2024-02-03T14:07:59+00:00,7,2204824,61000000,0.036144655737704916
2029327,1706969579,2024-02-03T14:12:59+00:00,7,1472427,61000000,0.024138147540983607
2029402,1706969879,2024-02-03T14:17:59+00:00,7,1248450,61000000,0.02046639344262295
2029477,1706970179,2024-02-03T14:22:59+00:00,7,2278857,61000000,0.037358311475409835
2029552,1706970479,2024-02-03T14:27:59+00:00,7,1933966,61000000,0.03170436065573771
2029627,1706970779,2024-02-03T14:32:59+00:00,7,1617405,61000000,0.026514836065573772
2029702,1706971079,2024-02-03T14:37:59+00:00,7,1298163,61000000,0.021281360655737706
2029777,1706971379,2024-02-03T14:42:59+00:00,7,1175932,61000000,0.019277573770491805
2029852,1706971679,2024-02-03T14:47:59+00:00,7,770170,61000000,0.012625737704918033
2029927,1706971979,2024-02-03T14:52:59+00:00,7,1442265,61000000,0.023643688524590162
2030002,1706972279,2024-02-03T14:57:59+00:00,7,1961764,61000000,0.03216006557377049
2030077,1706972579,2024-02-03T15:02:59+00:00,7,1340656,61000000,0.021977967213114753
2030152,1706972879,2024-02-03T15:07:59+00:00,7,682819,61000000,0.011193754098360655
2030227,1706973179,2024-02-03T15:12:59+00:00,7,1762533,61000000,0.028893983606557375
2030302,1706973479,2024-02-03T15:17:59+00:00,7,871993,61000000,0.014294967213114754
2030377,1706973779,2024-02-03T15:22:59+00:00,7,1115703,61000000,0.018290213114754098
2030452,1706974079,2024-02-03T15:27:59+00:00,7,2275025,61000000,0.03729549180327869
2030527,1706974379,2024-02-03T15:32:59+00:00,7,572313,61000000,0.009382180327868852
2030602,1706974679,2024-02-03T15:37:59+00:00,7,1365941,61000000,0.022392475409836066
2030677,1706974979,2024-02-03T15:42:59+00:00,7,3174560,61000000,0.052041967213114756
2030752,1706975279,2024-02-03T15:47:59+00:00,7,1477165,61000000,0.02421581967213115
2030827,1706975579,2024-02-03T15:52:59+00:00,7,1403633,61000000,0.02301037704918033
2030902,1706975879,2024-02-03T15:57:59+00:00,7,527117,61000000,0.008641262295081968
2030977,1706976179,2024-02-03T16:02:59+00:00,7,596515,61000000,0.009778934426229508
2031052,1706976479,2024-02-03T16:07:59+00:00,7,923618,61000000,0.01514127868852459
2031127,1706976779,2024-02-03T16:12:59+00:00,7,570371,61000000,0.009350344262295082
2031202,1706977079,2024-02-03T16:17:59+00:00,7,280370,61000000,0.004596229508196721
2031277,1706977379,2024-02-03T16:22:59+00:00,7,1683454,61000000,0.027597606557377048
2031352,1706977679,2024-02-03T16:27:59+00:00,7,807437,61000000,0.01323667213114754
2031427,1706977979,2024-02-03T16:32:59+00:00,7,1021575,61000000,0.016747131147540985
2031502,1706978279,2024-02-03T16:37:59+00:00,7,679809,61000000,0.011144409836065574
2031577,1706978579,2024-02-03T16:42:59+00:00,7,715103,61000000,0.011723
2031652,1706978879,2024-02-03T16:47:59+00:00,7,505452,61000000,0.008286098360655738
2031727,1706979179,2024-02-03T16:52:59+00:00,7,1653184,61000000,0.02710137704918033
2031802,1706979479,2024-02-03T16:57:59+00:00,7,484114,61000000,0.007936295081967214
2031877,1706979779,2024-02-03T17:02:59+00:00,7,1116911,61000000,0.018310016393442624
2031952,1706980079,2024-02-03T17:07:59+00:00,7,542678,61000000,0.008896360655737704
2032027,1706980379,2024-02-03T17:12:59+00:00,7,1768198,61000000,0.028986852459016395
2032102,1706980679,2024-02-03T17:17:59+00:00,7,1761476,61000000,0.02887665573770492
2032177,1706980979,2024-02-03T17:22:59+00:00,7,1400723,61000000,0.02296267213114754
2032252,1706981279,2024-02-03T17:27:59+00:00,7,1095189,61000000,0.017953918032786884
2032327,1706981579,2024-02-03T17:32:59+00:00,7,458698,61000000,0.007519639344262295
2032402,1706981879,2024-02-03T17:37:59+00:00,7,810448,61000000,0.013286032786885246
2032477,1706982179,2024-02-03T17:42:59+00:00,7,1253298,61000000,0.020545868852459015
2032552,1706982479,2024-02-03T17:47:59+00:00,7,291233,61000000,0.004774311475409836
2032627,1706982779,2024-02-03T17:52:59+00:00,7,978752,61000000,0.01604511475409836
2032702,1706983079,2024-02-03T17:57:59+00:00,7,412711,61000000,0.006765754098360656
2032777,1706983379,2024-02-03T18:02:59+00:00,7,1669379,61000000,0.027366868852459016
2032852,1706983679,2024-02-03T18:07:59+00:00,7,1043514,61000000,0.017106786885245903
2032927,1706983979,2024-02-03T18:12:59+00:00,7,663502,61000000,0.010877081967213115
2033002,1706984279,2024-02-03T18:17:59+00:00,7,504888,61000000,0.008276852459016394
2033077,1706984579,2024-02-03T18:22:59+00:00,7,821361,61000000,0.013464934426229508
2033152,1706984879,2024-02-03T18:27:59+00:00,7,528388,61000000,0.008662098360655738
2033227,1706985179,2024-02-03T18:32:59+00:00,7,114506,61000000,0.0018771475409836065
2033302,1706985479,2024-02-03T18:37:59+00:00,7,252510,61000000,0.004139508196721311
2033377,1706985779,2024-02-03T18:42:59+00:00,7,501556,61000000,0.008222229508196722
2033452,1706986079,2024-02-03T18:47:59+00:00,7,1059298,61000000,0.017365540983606556
2033527,1706986379,2024-02-03T18:52:59+00:00,7,1029627,61000000,0.016879131147540985
2033602,1706986679,2024-02-03T18:57:59+00:00,7,517364,61000000,0.008481377049180328
2033677,1706986979,2024-02-03T19:02:59+00:00,7,971057,61000000,0.015918967213114754
2033752,1706987279,2024-02-03T19:07:59+00:00,7,862795,61000000,0.014144180327868853
2033827,1706987579,2024-02-03T19:12:59+00:00,7,538717,61000000,0.008831426229508197
2033902,1706987879,2024-02-03T19:17:59+00:00,7,1458968,61000000,0.02391750819672131
2033977,1706988179,2024-02-03T19:22:59+00:00,7,732431,61000000,0.012007065573770492
2034052,1706988479,2024-02-03T19:27:59+00:00,7,726163,61000000,0.011904311475409836
2034127,1706988779,2024-02-03T19:32:59+00:00,7,858287,61000000,0.01407027868852459
2034202,1706989079,2024-02-03T19:37:59+00:00,7,134468,61000000,0.0022043934426229507
2034277,1706989379,2024-02-03T19:42:59+00:00,7,987352,61000000,0.016186098360655737
2034352,1706989679,2024-02-03T19:47:59+00:00,7,1042850,61000000,0.01709590163934426
2034427,1706989979,2024-02-03T19:52:59+00:00,7,833755,61000000,0.01366811475409836
2034502,1706990279,2024-02-03T19:57:59+00:00,7,1001334,61000000,0.016415311475409835
